,apreciacion,crecimiento,holgura,inflacion,mantener,moneda,volatilidad,depreciacion,deterioro,lasitud,disminuir,estable,aumentar,index
020818count,2.0,2.0,3.0,13.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0
021211count,0.0,6.0,1.0,11.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,-8.0
040216count,2.0,10.0,2.0,16.0,3.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,-15.0
040311count,0.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
040615count,1.0,3.0,3.0,16.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-18.0
041018count,0.0,1.0,2.0,19.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0
050516count,1.0,7.0,2.0,13.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,-7.0
050914count,0.0,4.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
051214count,0.0,3.0,3.0,12.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,-11.0
060614count,0.0,8.0,3.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
060913count,0.0,4.0,3.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,-11.0
061213count,0.0,6.0,2.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
070219count,1.0,5.0,3.0,19.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-12.0
070613count,0.0,3.0,1.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-13.0
070912count,0.0,5.0,0.0,11.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-11.0
080218count,1.0,1.0,3.0,21.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-26.0
080313count,0.0,7.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
080612count,0.0,2.0,2.0,11.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-12.0
080711count,0.0,2.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0
090217count,1.0,2.0,0.0,17.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,-22.0
091117count,1.0,4.0,1.0,23.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-22.0
100817count,4.0,7.0,0.0,22.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-17.0
110714count,0.0,7.0,1.0,14.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
110816count,0.0,7.0,0.0,14.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-13.0
120418count,1.0,3.0,3.0,16.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-14.0
120713count,0.0,3.0,2.0,15.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-14.0
130220count,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,-1.0
140308count,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140520count,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,-4.0
141011count,0.0,8.0,0.0,9.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,-4.0
141119count,0.0,4.0,5.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-5.0
141217count,0.0,2.0,1.0,20.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-25.0
150110count,0.0,2.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
150208count,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150411count,0.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.0
150509count,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-7.0
150808count,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.0
150819count,0.0,4.0,5.0,15.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,-10.0
151010count,3.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
151118count,0.0,3.0,2.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-17.0
151216count,2.0,5.0,0.0,17.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,-19.0
160109count,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,-5.0
160312count,0.0,5.0,2.0,12.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,-8.0
160410count,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
160508count,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160519count,0.0,2.0,5.0,23.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-20.0
160710count,0.0,2.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
161009count,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0
170216count,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0
170409count,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0
170518count,1.0,4.0,3.0,15.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-11.0
170709count,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0
171008count,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.0
171116count,0.0,2.0,0.0,14.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,-23.0
171215count,2.0,7.0,3.0,15.0,2.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,1.0,-17.0
180108count,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
180113count,0.0,9.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
180316count,3.0,9.0,1.0,19.0,3.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-18.0
180408count,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
180517count,2.0,3.0,0.0,21.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,-25.0
180610count,0.0,3.0,1.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
180708count,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.0
180909count,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0
190210count,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
190310count,0.0,1.0,1.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
190609count,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-6.0
190908count,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191219count,0.0,4.0,6.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0
200112count,0.0,2.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,-14.0
200209count,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200309count,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200320count,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,-4.0
200608count,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-8.0
200712count,0.0,4.0,0.0,9.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-8.0
200810count,0.0,1.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
201218count,0.0,2.0,2.0,20.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,-22.0
210111count,1.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
210314count,0.0,4.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-6.0
210420count,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,-4.0
210510count,1.0,2.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
210618count,1.0,2.0,2.0,17.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-17.0
210809count,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0
210915count,1.0,4.0,3.0,16.0,4.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,-18.0
220617count,4.0,3.0,0.0,22.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-24.0
240910count,0.0,2.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0
250414count,0.0,4.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
251013count,0.0,5.0,2.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,-5.0
260315count,1.0,6.0,2.0,15.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-12.0
260413count,1.0,5.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
260811count,0.0,6.0,0.0,8.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,-4.0
260919count,0.0,4.0,5.0,13.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,-6.0
261012count,0.0,5.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0
261110count,2.0,1.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
270412count,0.0,4.0,3.0,13.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.0
270511count,0.0,5.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
270619count,0.0,3.0,4.0,16.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-15.0
271109count,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
280319count,0.0,5.0,3.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0
280917count,4.0,4.0,2.0,22.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-16.0
281108count,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,-5.0
290115count,1.0,3.0,2.0,14.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0
290916count,0.0,4.0,0.0,16.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,-22.0
291015count,3.0,5.0,4.0,17.0,4.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,-17.0
300317count,4.0,3.0,0.0,17.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,-19.0
300415count,1.0,5.0,2.0,17.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-15.0
300616count,0.0,8.0,1.0,14.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,-16.0
300715count,2.0,2.0,3.0,17.0,4.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,-21.0
301112count,1.0,6.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
310114count,0.0,5.0,3.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0
311014count,1.0,5.0,2.0,12.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-10.0
